t,qx,qy,px,py,H
1.449,0.7948017492605646,-1.16973936386374,-1.5864898793836284,-1.0779708457047141,10.754256030966122
1.45,0.7932120651767248,-1.1708179276292603,-1.5928781983953118,-1.0791517412809983,10.759305558831795
1.451,0.7916159930588024,-1.1718976574486044,-1.5992659322992506,-1.0803029437898721,10.76436212819356
1.452,0.7900135335377698,-1.1729785236001413,-1.605652989250858,-1.0814243962287327,10.769425603867191
1.453,0.7884046873367885,-1.1740604963056125,-1.61203927671551,-1.0825160423442814,10.774495850228469
1.454,0.7867894552719005,-1.1751435457308808,-1.6184247014715376,-1.0835778266368412,10.77957273121613
1.455,0.7851678382527091,-1.1762276419866895,-1.624809169613294,-1.0846096943646613,10.784656110334854
1.456,0.7835398372830666,-1.17731275512942,-1.6311925865542476,-1.0856115915482116,10.789745850658273
1.457,0.7819054534617484,-1.1783988551618583,-1.6375748570301565,-1.0865834649744714,10.794841814832031
1.458,0.7802646879831336,-1.1794859120339605,-1.643955885102267,-1.087525262201202,10.799943865076884
1.459,0.7786175421378743,-1.1805738956436296,-1.65033557416059,-1.0884369315612097,10.805051863191842
1.46,0.7769640173135689,-1.1816627758374894,-1.6567138269272006,-1.0893184221665966,10.810165670557323
1.461,0.7753041149954238,-1.182752522411668,-1.6630905454596254,-1.0901696839130004,10.815285148138408
1.462,0.7736378367669215,-1.1838431051125815,-1.6694656311542446,-1.09099066748382,10.820410156488059
1.463,0.7719651843104746,-1.1849344936377266,-1.6758389847497792,-1.0917813243544292,10.825540555750443
1.464,0.7702861594080863,-1.1860266576364715,-1.6822105063308013,-1.0925416067963754,10.830676205664258
1.465,0.7686007639419993,-1.187119566710858,-1.6885800953313224,-1.093271467881566,10.835816965566103
1.466,0.7669089998953478,-1.188213190416399,-1.6949476505384053,-1.0939708614864387,10.840962694393905
1.467,0.7652108693527985,-1.1893074982628902,-1.7013130700958594,-1.094639742296118,10.84611325069037
1.468,0.7635063745011973,-1.1904024597152165,-1.7076762515079518,-1.095278065808557,10.851268492606469
1.469,0.7617955176302013,-1.1914980441941707,-1.7140370916432086,-1.0958857883386621,10.856428277904985
1.47,0.7600783011329174,-1.1925942210772693,-1.7203954867382285,-1.0964628670224024,10.861592463964087
1.471,0.7583547275065282,-1.193690959699578,-1.7267513324015817,-1.097009259820902,10.866760907780932
1.472,0.756624799352923,-1.1947882293545367,-1.733104523617728,-1.0975249255245163,10.871933465975323
1.473,0.7548885193793136,-1.1958859992947939,-1.7394549547510207,-1.09800982375689,10.87710999479342
1.474,0.7531458903988589,-1.1969842387330378,-1.7458025195497215,-1.098463914978996,10.882290350111436
1.475,0.751396915331274,-1.1980829168428397,-1.7521471111501057,-1.098887160493161,10.887474387439447
1.476,0.7496415972034423,-1.1991820027594946,-1.758488622080585,-1.0992795224470633,10.89266196192518
1.477,0.7478799391500207,-1.2002814655808702,-1.7648269442659057,-1.0996409638377227,10.897852928357866
1.478,0.7461119444140436,-1.2013812743682561,-1.771161969031371,-1.0999714485154617,10.903047141172129
1.479,0.7443376163475147,-1.202481398147223,-1.7774935871071453,-1.1002709411878493,10.908244454451934
1.48,0.7425569584120062,-1.2035818059084769,-1.7838216886325742,-1.100539407423626,10.913444721934525
1.481,0.7407699741792424,-1.2046824666087264,-1.7901461631605857,-1.100776813656608,10.91864779701445
1.482,0.7389766673316875,-1.2057833491715468,-1.796466899662114,-1.100983127189566,10.92385353274761
1.483,0.7371770416631228,-1.2068844224882542,-1.8027837865305956,-1.1011583161980874,10.929061781855332
1.484,0.7353711010792241,-1.207985655418776,-1.809096711586489,-1.1013023497344108,10.934272396728492
1.485,0.7335588495981301,-1.2090870167925336,-1.8154055620818772,-1.1014151977312445,10.939485229431696
1.486,0.7317402913510114,-1.210188475409321,-1.8217102247050785,-1.1014968310055544,10.944700131707451
1.487,0.7299154305826284,-1.2112900000401954,-1.8280105855853461,-1.101547221262335,10.94991695498044
1.488,0.7280842716518908,-1.212391559428362,-1.8343065302975845,-1.1015663410983503,10.955135550361765
1.489,0.7262468190324081,-1.2134931222900727,-1.840597943867135,-1.1015541640058564,10.960355768653285
1.49,0.7244030773130379,-1.2145946573155182,-1.8468847107745896,-1.1015106643762933,10.965577460351964
1.491,0.7225530511984265,-1.2156961331697342,-1.853166714960681,-1.1014358175039562,10.97080047565426
1.492,0.7206967455095492,-1.216797518493502,-1.859443839831184,-1.1013295995896384,10.976024664460551
1.493,0.7188341651842385,-1.2178987819042595,-1.8657159682619018,-1.1011919877442458,10.981249876379621
1.494,0.716965315277716,-1.2189998919970113,-1.8719829826036656,-1.1010229599923926,10.986475960733145
1.495,0.7150902009631114,-1.2201008173452461,-1.8782447646874108,-1.1008224952759602,10.991702766560245
1.496,0.7132088275319828,-1.2212015265018523,-1.8845011958292694,-1.1005905734576347,10.996930142622052
1.497,0.7113212003948255,-1.222301988000046,-1.8907521568357455,-1.100327175324415,11.002157937406356
1.498,0.7094273250815833,-1.223402170354291,-1.8969975280088962,-1.1000322825910922,11.007385999132222
